Fir	Las	Team	Pos	Height	Pts	Reb	Blk	Ast	Stl
Aron	Baynes	Celtics	C	6'10"	5.4	4.3	.6	1.1	.2
Jaylen	Brown	Celtics	SG	6'7"	13.0	4.3	.4	1.3	.9
PJ	Dozier	Celtics	PG	6'6"	1.4	1.2	0	0	0
Gordon	Hayward	Celtics	SF	6'8"	11.1	4.4	.3	3.4	.9
Al	Horford	Celtics	C	6'10"	13.4	6.7	1.3	4.1	.8
RJ	Hunter	Celtics	SG	6'5"	3.8	1.0	0	.6	.6
Kyrie	Irving	Celtics	PG	6'3"	23.9	5	.5	7.1	1.6
Greg	Monroe	Celtics	C	6'11"	4.7	4.0	.2	.4	.3
Marcus	Morris	Celtics	PF	6'9"	14.1	6.1	.3	1.4	.6
Semi	Ojeleye	Celtics	PF	6'7"	3.2	1.5	.1	.4	.2
Terry	Rozier	Celtics	PG	6'1"	9	3.9	.3	3	.9
Marcus	Smart	Celtics	PG	6'4"	8.8	3.0	.4	4.1	1.8
Jayson	Tatum	Celtics	SF	6'8"	15.8	6.1	.7	2.1	1.1
Daniel	Theis	Celtics	PF	6'8"	6.0	3.5	.7	1.1	.3
Brad	Wanamaker	Celtics	PG	6'4"	3.4	1.0	0	1.4	.3
Robert	Williams	Celtics	C	6'10"	2.5	2.3	1.2	.2	.3
Guerschon	Yabusele	Celtics	PF	6'8"	2.1	1.2	.2	.3	.2
Jarrett	Allen	Nets	C	6'11"	11	8.3	1.5	1.4	.6
D'Angelo	Russell	Nets	PG	6'5"	20.9	3.7	.3	7	1.3
Rondae	Hollis-Jefferson	Nets	SF	6'7"	9.0	5.1	.5	1.6	.7
Demarre	Carroll	Nets	SF	6'8"	11.2	5.2	.1	1.3	.5
Allen	Crabbe	Nets	SG	6'6"	9.6	3.4	.3	1.1	.5
Ed	Davis	Nets	PF	6'10"	5.8	8.7	.4	.8	.4
Spencer	Dimwiddie	Nets	SG	6'6"	17.3	2.5	.3	4.7	.6
Jared	Dudley	Nets	SF	6'7"	4.7	2.5	.3	1.4	.6
Treveon	Graham	Nets	SG	6'5"	4.9	3.1	.2	.9	.4
Joe	Harris	Nets	SF	6'6"	13.6	3.7	.2	2.4	.5
Rodions	Kurucs	Nets	SF	6'9"	8.4	3.7	.4	.8	.7
Chris	LeVert	Nets	SG	6'7"	13.4	3.9	.4	3.8	1.1
Tahjere	McCall	Nets	SG	6'5"	4	1	0	0	0
Dzanan	Musa	Nets	SG	6'9"	2	.5	0	.1	.3
Shabazz	Napier	Nets	PG	6'1"	9.3	1.7	.3	2.5	.7
Theo	Pinson	Nets	SG	6'6"	4.5	1.9	0	1.1	.3
Alan	Williams	Nets	PF	6'8"	3.5	4.3	0	.8	.3
Kadeem	Allen	Knicks	SG	6'3"	9.9	2.5	.2	3.7	.8
Damyean	Dotson	Knicks	SG	6'6"	10.8	3.6	.1	1.7	.9
Henry	Ellenson	Knicks	PF	6'11"	5.1	3.4	0	1	.5
Mario	Hezonja	Knicks	SF	6'8"	8.1	3.8	.1	1.2	.9
Isaiah	Hicks	Knicks	PF	6'9"	1	0	0	1	0
John	Jenkins	Knicks	SG	6'4"	3.4	.9	.1	.6	0
DeAndre	Jordan	Knicks	C	6'11"	11	13.1	1.1	2.3	.6
Kevin	Knox	Knicks	SF	6'9"	12.6	4.2	.3	1	.6
Luke	Kornet	Knicks	PF	7'1"	6.3	2.5	.7	1.1	.7
Emmanuel	Mudiay	Knicks	PG	6'5"	14.8	3.2	.3	3.8	.7
Frank	Ntilikina	Knicks	PG	6'6"	5.7	2	.3	2.8	.7
Mitchell	Robinson	Knicks	C	7'1"	7	6.1	2.5	.5	.8
Dennis	Smith Jr.	Knicks	PG	6'3"	13.4	3	.4	4.7	1.3
Lance	Thomas	Knicks	SF	6'8"	4.3	2.4	.1	.6	.1
Noah	Vonleh	Knicks	PF	6'9"	8.4	7.8	.8	1.9	.7
Jonah	Bolden	76ers	PF	6'10"	4.5	3.5	.9	.8	.4
Jimmy	Butler	76ers	SG	6'8"	19	5.3	.6	4.1	1.9
Joel	Embiid	76ers	C	7'0"	27.5	13.7	1.9	3.5	.7
James	Ennis III	76ers	SF	6'7"	6.8	3.1	.4	.6	.7
Tobias	Harris	76ers	SF	6'9"	20.3	7.9	.5	2.8	.7
Haywood	Highsmith	76ers	SF	6'7"	1.5	.5	0	1	0
Amir	Johnson	76ers	C	6'9"	3.8	2.7	.2	1.2	.3
Furkan	Korkmaz	76ers	SG	6'7"	5.8	2.3	0	1.1	.6
Boban	Marjanovic	76ers	C	7'3"	7.1	4.4	.5	.8	.3
T.J.	McConnell	76ers	PG	6'2"	6.2	2.3	.2	3.5	1.1
Shake	Milton	76ers	SG	6'6"	4.7	1.5	.3	.9	.3
Justin	Patton	76ers	C	7'0"	1.7	2	0	1	.7
JJ	Reddick	76ers	SG	6'4"	17.6	2.4	.2	2.8	.4
Mike	Scott	76ers	PF	6'8"	5.6	3.4	.2	.8	.4
Ben	Simmons	76ers	PG	6'10"	17.1	8.9	.7	7.8	1.4
Jonathon	Simmons	76ers	SF	6'6"	6.3	2.2	.3	.5
Zhaire	Smith	76ers	SG	6'4"	3	1	0	0	1
OG	Anouby	Raptors	SF	6'8"	7.1	3	.3	.7	.7
Chris	Boucher	Raptors	PF	6'10"	2.9	1.6	.8	0	.2
Marc	Gasol	Raptors	C	7'1"	13.9	8	1.1	4.4	1.1
Danny	Green	Raptors	SG	6'6"	10.1	4	.6	1.5	.9
Serge	Ibaka	Raptors	C	6'10"	14.9	8.1	1.4	1.4	.4
Kawhi	Leonard	Raptors	SF	6'7"	27	7.4	.4	3.3	1.9
Jeremy	Lin	Raptors	PG	6'3"	9.9	2.4	.2	3.2	.7
Kyle	Lowry	Raptors	PG	6'1"	14.5	4.7	.5	8.8	1.4
Jordan	Lloyd	Raptors	PG	6'4"	1.8	.8	0	.6	0
Patrick	McCaw	Raptors	SG	6'7"	2.6	1.7	.1	1	.8
Jodie	Meeks	Raptors	SG	6'4"	7.4	2	.2	.8	.2
Malcolm	Miller	Raptors	SF	6'7"	4	.3	.1	.1	.1
Pascal	Siakam	Raptors	PF	6'9"	17	6.9	.7	3.1	1
Fred	VanVleet	Raptors	PG	6'0"	11.1	2.7	.3	4.8	.8
Rawle	Alkins	Bulls	SG	6'5"	2	2.3	0	1	.2
Ryan	Arcidiacono	Bulls	PG	6'3"	6.5	2.6	.1	3.3	.8
Antonio	Blakeney	Bulls	SG	6'4"	7.3	1.9	.2	.7	.2
Wendell	Carter Jr.	Bulls	C	6'10"	10.3	7	1.3	1.8	.6
Kris	Dunn	Bulls	PG	6'4"	11.3	4.1	.5	6	1.5
Cristiano	Felicio	Bulls	PF	6'10"	4	3.5	.1	.6	.2
Shaquille	Harrison	Bulls	PG	6'4"	6.2	3	.3	1.9	1.2
Chandler	Hutchinson	Bulls	SF	6'7"	5.2	4.2	.1	.8	.5
Zach	Levine	Bulls	PG	6'5"	23.7	4.7	.4	4.5	1
Walt	Lemon Jr.	Bulls	PG	6'3"	12.5	3	.5	5.5	3.5
Timothe	Luwawu-Cabarrot	Bulls	SG	6'6"	4	1.7	.1	.5	.4
Lauri	Markkanen	Bulls	PF	7'0"	18.7	9	.6	1.4	.7
Otto	Porter Jr.	Bulls	SF	6'8"	13.9	5.6	.6	2.1	1.5
Brandon	Sampson	Bulls	SG	6'5"	4	1	.2	.6	.4
JaKarr	Sampson	Bulls	SG	6'9"	5.5	2.7	.5	.8	.4
Wayne	Selden	Bulls	SG	6'5"	6.9	2.2	.2	1.4	.5
Denzel	Valentine	Bulls	SG	6'6"	10.2	5.1	.1	3.2	.8
Deng	Adel	Cavaliers	SF	6'7"	1.7	1.1	.3	.3	.1
Jaron	Blossomgame	Cavaliers	SF	6'8"	4.2	3.6	.3	.5	.3
Marquese	Chriss	Cavaliers	PF	6'10"	4.2	3.2	.3	.5	.3
Jordan	Clarkson	Cavaliers	PG	6'5"	17.1	3.4	.2	2.4	.7
Matthew	Dellavedova	Cavaliers	PG	6'4"	5.9	3.8	0	3.8	.3
Channing	Frye	Cavaliers	PF	7'0"	3.4	1.4	.1	.6	.6
John	Henson	Cavaliers	PF	6'11"	5.6	5.1	.8	1	.5
Brandon	Knight	Cavaliers	PG	6'3"	6.6	1.3	0	1.8	.5
Kevin	Love	Cavaliers	PF	6'10"	17.6	11.2	.2	2.2	.2
Larry	Nance Jr.	Cavaliers	PF	6'9"	9.2	7.9	.6	3.1	1.5
David	Nwaba	Cavaliers	SG	6'4"	6.7	3	.4	1	.7
Cedi	Osman	Cavaliers	SF	6'8"	12.9	4.7	.2	2.6	.8
Collin	Sexton	Cavaliers	PG	6'2"	16.6	3	.1	2.8	.5
J.R.	Smith	Cavaliers	SG	6'6"	6.7	1.6	.3	1.9	1
Nik	Stauskas	Cavaliers	SG	6'6"	6	1.9	.1	1.2	.3
Tristan	Thompson	Cavaliers	C	6'10"	10.9	10.3	.4	2	.7
Ante	Zizic	Cavaliers	C	6'11"	7.5	5.3	.6	1.6	.1
Bruce	Brown	Pistons	SG	6'5"	4.3	2.5	.5	1.2	.5
Jose	Calderon	Pistons	PG	6'3"	2.4	1.3	.1	2.4	.3
Andre	Drummond	Pistons	C	6'11"	17.3	15.5	1.7	1.4	1.7
Wayne	Ellington	Pistons	SG	6'5"	10	1.9	.1	1.3	1
Langston	Galloway	Pistons	PG	6'2"	8.5	2.1	.1	1.1	.5
Blake	Griffin	Pistons	PF	6'10"	24.7	7.7	.4	5.5	.7
Reggie	Jackson	Pistons	PG	6'3"	15.5	2.6	.1	4.2	.7
Luke	Kennard	Pistons	SG	6'5"	9.6	2.9	.2	1.8	.4
Jon	Leuer	Pistons	PF	6'10"	3.9	2.4	.1	.4	.3
Kalin	Lucas	Pistons	PG	6'1"	2	3	0	1	0
Thon	Maker	Pistons	PF	7'1"	5.2	4.7	1.2	.9	.4
Sviatoslav	Mykhailiuk	Pistons	SG	6'8"	3.2	.9	0	.9	.3
Zaza	Pachulia	Pistons	C	6'11"	3.9	3.9	.3	1.4	.5
Glenn	Robinson III	Pistons	SG	6'6"	4.3	1.4	.2	.4	.3
Ish	Smith	Pistons	PG	6'0"	8.7	2.6	.2	3.5	.5
Khyri	Thomas	Pistons	SG	6'3"	2.5	.8	.2	.3	.3
Isaiah	Whitehead	Pistons	SG	6'4"	6.3	1.6	.1	1.3	.5
Bojan	Bogdanovic	Pacers	SF	6'8"	18.2	4.1	0	2	.9
Darren	Collison	Pacers	PG	6'0"	11.4	3.1	.1	6.1	1.4
Tyreke	Evans	Pacers	SG	6'6"	10	2.8	.3	2.4	.9
Aaron	Holiday	Pacers	PG	6'1"	5.6	1.3	.3	1.5	.4
Alize	Johnson	Pacers	PF	6'9"	.5	.7	.1	0	0
Cory	Joseph	Pacers	PG	6'3"	6.5	3.4	.3	3.8	1.2
T.J,	Leaf	Pacers	PF	6'10"	3.4	2	.3	.4	.1
Wesley	Matthews	Pacers	SG	6'5"	12.3	2.5	.3	2.4	.8
Doug	McDermott	Pacers	SF	6'8"	7.1	1.4	.1	.8	.2
Kyle	O'Quinn	Pacers	PF	6'10"	3.4	2.7	.5	1.3	.2
Victor	Oladipo	Pacers	SG	6'4"	18.8	5.8	.3	5.2	1.7
Davon	Reed	Pacers	SG	6'5"	.6	.3	0	.3	0
Domantas	Sabonis	Pacers	PF	6'11"	14.1	9.3	.4	2.9	.6
Edmond	Sumner	Pacers	PG	6'6"	2.1	1	.3	.5	.5
Myles	Turner	Pacers	C	6'11"	13.3	7.3	2.7	1.6	.8
Thaddeus	Young	Pacers	PF	6'8"	12.5	6.5	.5	2.5	1.5
Giannis	Antetokounmpo	Bucks	PF	6'11"	27.4	12.5	1.5	5.9	1.3
Eric	Bledsoe	Bucks	PG	6'1"	16	4.7	.4	5.5	1.5
Malcolm	Brogdon	Bucks	PG	6'5"	15.6	4.5	.2	3.2	.7
Sterling	Brown	Bucks	SG	6'6"	6.1	3.1	.1	1.4	.4
Bonzie	Colson	Bucks	PF	6'6"	3	3.2	.2	.5	.2
Pat	Connaughton	Bucks	SG	6'4"	6.7	4.1	.4	2	.5
Donte	DiVincenzo	Bucks	SG	6'4"	4.9	2.4	.2	1.1	.5
Trevon	Duval	Bucks	PG	6'2"	1.7	.3	0	.7	0
Tim	Frazier	Bucks	PG	6'1"	4.8	2.7	.1	4.2	.5
Pau	Gasol	Bucks	C	7'0"	3.9	4.6	.5	1.7	.2
George	Hill	Bucks	PG	6'3"	7.3	2.4	.1	2.2	.9
Ersan	Ilyasova	Bucks	PF	6'10"	6.8	4.5	.3	.8	.5
Brook	Lopez	Bucks	C	7'0"	12.6	4.8	2.2	1.2	.6
Khris	Middleton	Bucks	SF	6'8"	18.1	6.1	.1	4.3	1
Nikola	Mirotic	Bucks	PF	6'10"	15.2	7.4	.7	1.2	.7
Jaylen	Morris	Bucks	SG	6'5"	2.5	1.3	0	1	.5
Tony	Snell	Bucks	SG	6'7"	6	2.1	.2	.9	.4
D.J.	Wilson	Bucks	PF	6'10"	5.4	4.2	.4	1	.4
Christian	Wood	Bucks	PF	6'10"	6.3	2.9	.5	.3	.4
Jaylen	Adams	Hawks	PG	6'2"	3.2	1.7	.2	1.9	.4
Justin	Anderson	Hawks	SG	6'6"	3.5	1.7	.3	.5	.5
Kent	Bazemore	Hawks	SG	6'5"	11.7	4	.6	2.3	1.4
DeAndre	Bembry	Hawks	SF	6'6"	8.3	4.4	.5	2.5	1.3
Vince	Carter	Hawks	SG	6'6"	7.5	2.5	.3	1.1	.6
John	Collins	Hawks	PF	6'10"	19.5	9.5	.6	1.9	.4
Deyonta	Davis	Hawks	C	6'11"	4	4.7	.7	.6	.4
Dewayne	Dedmon	Hawks	C	7'0"	10.8	7.5	1.1	1.4	1.1
Kevin	Huerter	Hawks	SG	6'7"	9.6	3.2	.3	2.8	.9
Isaac	Humphries	Hawks	C	7'0"	2.3	2	0	.3	0
BJ	Johnson	Hawks	SF	6'7"	3.5	1.3	0	0	.3
Alex	Len	Hawks	C	7'1"	15.7	5.4	.9	1.1	.4
Miles	Plumlee	Hawks	C	6'11"	4.4	2.2	.2	.9	.3
Alex	Poythress	Hawks	SF	6'9"	5.1	3.6	.5	.8	.2
